Station,FullName,Count,UnitedRussia,Party
1,Алексанян Артур Олегович,5775,0,Региональное отделение в городе Москве Политической партии Гражданская Платформа
1,Болотин Максим Олегович,1995,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
1,Бутузов Александр Викторович,3340,0,Московское городское отделение политической партии Либерально-демократическая партия России
1,Венедиктов Александр Викторович,5107,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
1,Гончарук Григорий Иванович,6404,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
1,Драгункина Зинаида Федоровна,19050,1,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
2,Анисимов Егор Игоревич,1266,0,Московское городское отделение политической партии Либерально-демократическая партия России
2,Золотарёва Светлана Андреевна,1851,0,Самовыдвижение
2,Песков Михаил Владимирович,5444,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
2,Цапенко Сергей Валерьевич,3399,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
2,Шмелева Елена Игоревна,7604,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
2,Ярославская Ольга Владимировна,13061,0,Самовыдвижение
3,Анашкин Юрий Александрович,5490,0,Самовыдвижение
3,Арзуманян Альберт Аргиналович,2149,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
3,Белов Даниил Романович,1519,0,Московское городское отделение политической партии Либерально-демократическая партия России
3,Демидко Владимир Александрович,1925,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
3,Сараев Дмитрий Михайлович,4861,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
3,Скобинов Валерий Петрович,17729,1,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
4,Алырин Святослав Игоревич,1290,0,Московское городское отделение политической партии Либерально-демократическая партия России
4,Герасимов Евгений Владимирович,19383,1,Самовыдвижение
4,Копкина Ирина Николаевна,8828,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
