Station,FullName,Count,UnitedRussia,Party
4,Махмудов Рустам Хамидович,3713,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
4,Павленко Ирина Алексеевна,3102,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
5,Бабурин Сергей Николаевич,9128,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
5,Золочевский Виталий Сергеевич,2260,0,Московское городское отделение политической партии Либерально-демократическая партия России
5,Кац Максим Евгеньевич,8613,0,Самовыдвижение
5,Морозова Елена Сергеевна,4066,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
5,Сорока Олег Иосифович,12196,1,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
6,Бабкина Надежда Георгиевна,13509,1,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
6,Барынина Надежда Сергеевна,5406,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
6,Григоров Сергей Геннадьевич,8759,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
6,Елисеев Борис Петрович,5994,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
6,Лопарева Тамара Михайловна,1673,0,Московское городское отделение политической партии Либерально-демократическая партия России
7,Дуняшев Александр Олегович,2613,0,Самовыдвижение
7,Звягинцев Петр Семенович,7481,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
7,Молочко Александр Михайлович,1578,0,Московское городское отделение политической партии Либерально-демократическая партия России
7,Перфилова Надежда Рафаиловна,16257,1,Самовыдвижение
7,Потапова Светлана Витальевна,2321,0,Региональное отделение Всероссийской политической партии Гражданская Сила в Москве
7,Самошин Владимир Сергеевич,2282,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
7,Хомяков Владимир Константинович,1557,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
8,Беляев Олег Алексеевич,4043,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
8,Зюганов Леонид Андреевич,11904,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
8,Морозов Антон Александрович,5858,0,Самовыдвижение
8,Николаев Игорь Алексеевич,7196,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
8,Фатеева Татьяна Евгеньевна,3347,0,Московское городское отделение политической партии Либерально-демократическая партия России
8,Юнусова Лилия Равиловна,1855,0,Региональное отделение Всероссийской политической партии Гражданская Сила в Москве
9,Галенкина Майя Александровна,1764,0,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
9,Галямина Юлия Евгеньевна,6845,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
9,Гусенков Алексей Иванович,1743,0,Региональное отделение в городе Москве Политической партии Российская экологическая партия Зеленые
9,Ильичева Ирина Викторовна,12961,1,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
9,Кузнецова Ольга Михайловна,1532,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
9,Пономарёв Виталий Константинович,1699,0,Самовыдвижение
9,Попова Алена Владимировна,3385,0,Самовыдвижение
9,Сидоров Сергей Алексеевич,6543,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
10,Картавцева Лариса Руслановна,18627,1,Самовыдвижение
10,Кравцов Алексей Владимирович,1242,0,Самовыдвижение
10,Кузнецов Дмитрий Иванович,3731,0,Московское городское отделение политической партии Либерально-демократическая партия России
10,Мерцалова Инна Борисовна,2596,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
10,Саблуков Александр Валентинович,3544,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
10,Фадеев Максим Анатольевич,4173,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
11,Бабушкин Андрей Владимирович,9026,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
11,Зубрилин Николай Григорьевич,10466,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
11,Саватеев Вадим Витальевич,4738,0,Московское городское отделение политической партии Либерально-демократическая партия России
11,Силиверстов Игорь Витальевич,6767,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
12,Марченко Евгений Владимирович,5590,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
12,Сапронов Александр Сергеевич,2010,0,Московское городское отделение политической партии Либерально-демократическая партия России
12,Тафинцева Лидия Васильевна,1607,0,Самовыдвижение
12,Фокина Татьяна Михайловна,1875,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
12,Ходаков Владимир Владимирович,3286,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
12,Шапошников Алексей Валерьевич,16801,1,Самовыдвижение
13,Добрынин Сергей Александрович,2442,0,Московское городское отделение политической партии Либерально-демократическая партия России
13,Лебедев Сергей Эдуардович,1323,0,Самовыдвижение
13,Морозов Николай Николаевич,4517,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
13,Портнова Татьяна Арториджевна,15354,1,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
13,Савицкая Светлана Анатольевна,4932,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
13,Шайжанов Родион Маратович,4425,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
14,Захаров Дмитрий Александрович,2035,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ
14,Круглов Максим Сергеевич,5731,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
14,Крюков Алексей Сергеевич,2351,0,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
14,Михайлова Юлия Борисовна,9034,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
14,Теличенко Валерий Иванович,15498,1,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
15,Душенко Вячеслав Владимирович,1634,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
15,Крапухин Алексей Игоревич,3467,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
15,Метельский Андрей Николаевич,15423,1,Самовыдвижение
15,Тимонин Максим Анатольевич,4064,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
15,Шилов Станислав Александрович,1953,0,Самовыдвижение
15,Юрьев Михаил Владимирович,1294,0,Московское городское отделение политической партии Либерально-демократическая партия России
16,Грищенко Елена Аркадьевна,3324,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
16,Лазарев Николай Леонидович,1422,0,Московское городское отделение политической партии Либерально-демократическая партия России
16,Молев Антон Ильич,14476,1,Самовыдвижение
16,Мустафин Марат Махсутович,729,0,Самовыдвижение
16,Парфенов Денис Андреевич,6098,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
16,Тимонов Михаил Леонидович,4431,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
17,Андреев Андрей Владимирович,1628,0,Московское городское отделение политической партии Либерально-демократическая партия России
17,Брумель Игорь Николаевич,1210,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
17,Петров Михаил Владимирович,5703,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
17,Пинясов Николай Сергеевич,2218,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
17,Пономарев Алексей Анатольевич,3148,0,Самовыдвижение
17,Сметанов Александр Юрьевич,18190,1,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
18,Бабыкина Галина Дмитриевна,1282,0,Самовыдвижение
18,Бурд Семен Яковлевич,3416,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
18,Киреев Андрей Николаевич,2117,0,Московское городское отделение политической партии Либерально-демократическая партия России
18,Махмутова Айгуль Фатиховна,654,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
18,Назарова Ирина Александровна,13921,1,Самовыдвижение
18,Погорелов Владимир Васильевич,1489,0,Самовыдвижение
18,Чуканова Маргарита Алексеевна,10182,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
19,Карасева Вера Юрьевна,4305,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
19,Кругляков Виктор Михайлович,16855,1,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
19,Лапин Юрий Ерминингельдович,6073,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
19,Майоров Максим Александрович,2567,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
19,Новиков Михаил Михайлович,1842,0,Московское городское отделение политической партии Либерально-демократическая партия России
20,Корсаков Евгений Геннадьевич,2679,0,Московское городское отделение политической партии Либерально-демократическая партия России
20,Молохов Александр Владимирович,2620,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
20,Павленко Александр Александрович,2356,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
20,Тимченко Александр Николаевич,6379,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
20,Шибаев Андрей Вячеславович,17009,0,Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ РОДИНА в городе Москве
20,Шульмин Виталий Юрьевич,1201,0,Самовыдвижение
21,Балабуткин Алексей Алексеевич,1462,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ
21,Зотов Владимир Борисович,12037,1,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
21,Катков Валерий Семенович,5051,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
21,Клычков Андрей Евгеньевич,13968,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
21,Липагин Артём Владимирович,858,0,Московское городское отделение политической партии Либерально-демократическая партия России
21,Родионова Светлана Сергеевна,3035,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
22,Власов Александр Витальевич,3045,0,Московское городское отделение политической партии Либерально-демократическая партия России
22,Волков Владимир Николаевич,5828,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
22,Караваева Марина Степановна,3203,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
22,Святенко Инна Юрьевна,18158,1,Самовыдвижение
22,Солянин Валерий Владимирович,1335,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
23,Гуличева Елена Петровна,5935,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
23,Новиков Юрий Николаевич,2496,0,Московское городское отделение политической партии Либерально-демократическая партия России
23,Платонов Владимир Михайлович,14201,1,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
23,Прочик Евгений Евгеньевич,1832,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
23,Шишкин Сергей Владимирович,3659,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
24,Зотов Владимир Владимирович,5163,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
24,Зотова Зоя Михайловна,15922,1,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
24,Ким Сергей Степанович,1270,0,Самовыдвижение
24,Овчаренко Татьяна Иосифовна,3434,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
24,Протасов Роман Игоревич,1917,0,Московское городское отделение политической партии Либерально-демократическая партия России
24,Тарасов Павел Михайлович,10314,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
25,Ананьев Олег Вячеславович,2355,0,Самовыдвижение
25,Антонов-Овсеенко Антон Антонович,2358,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
25,Енгалычева Екатерина Александровна,5244,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
25,Козадаев Сергей Сергеевич,1588,0,Московское городское отделение политической партии Либерально-демократическая партия России
25,Мещерякова Наталья Юрьевна,2303,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
25,Стебенкова Людмила Васильевна,16701,1,Самовыдвижение
26,Балашов Евгений Борисович,10330,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
26,Медовар Юрий Анатольевич,1922,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
26,Пройдаков Андрей Юрьевич,966,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
26,Федосов Владислав Владимирович,1379,0,Московское городское отделение политической партии Либерально-демократическая партия России
26,Щитов Кирилл Владимирович,16419,1,Самовыдвижение
27,Гоголев Виктор Александрович,2491,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ
27,Добровольский Алексей Юрьевич,4872,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
27,Орлов Степан Владимирович,23007,1,Самовыдвижение
27,Щербакова Ольга Александровна,1645,0,Московское городское отделение политической партии Либерально-демократическая партия России
28,Антонцев Михаил Иванович,14280,1,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
28,Жармуханов Николай Люкманович,604,0,Самовыдвижение
28,Каров Кирилл Николаевич,1787,0,Московское городское отделение политической партии Либерально-демократическая партия России
28,Куимов Владимир Михайлович,5216,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
28,Мирошина Марина Геннадьевна,5365,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
28,Яблоков Алексей Владимирович,3241,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
29,Гендин Геннадий Васильевич,4054,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
29,Медведев Александр Константинович,7274,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
29,Минько Нина Григорьевна,10941,0,Самовыдвижение
29,Петров Иван Евгеньевич,4835,0,Московское городское отделение политической партии Либерально-демократическая партия России
29,Пороховниченко Юрий Иванович,1308,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
29,Сонкин Виктор Николаевич,815,0,Самовыдвижение
30,Давыдов Денис Владимирович,5417,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
30,Елисеев Сергей Геннадиевич,1645,0,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
30,Мишин Алексей Валентинович,16069,0,Самовыдвижение
30,Новиков Дмитрий Владимирович,2352,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
30,Поняхина Марина Анатольевна,1489,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
30,Репкина Елена Владимировна,3860,0,Самовыдвижение
31,Анохин Сергей Владимирович,1346,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
31,Грязнова Варвара Леонидовна,4259,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
31,Зверев Сергей Иванович,16018,1,Самовыдвижение
31,Курафеев Александр Юрьевич,4536,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
31,Новикова Анна Сергеевна,1033,0,Московское городское отделение политической партии Либерально-демократическая партия России
31,Сухов Олег Владимирович,2288,0,Самовыдвижение
32,Гончаров Кирилл Алексеевич,7944,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
32,Дьячков Роман Михайлович,4326,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
32,Журавский Сергей Владимирович,1807,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
32,Ломакина Татьяна Евгеньевна,12036,1,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
32,Почукаев Анатолий Юрьевич,2927,0,Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ РОДИНА в городе Москве
32,Чернышов Борис Александрович,1828,0,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
32,Шинкаренко Татьяна Андреевна,1510,0,Самовыдвижение
33,Греков Платон Евгеньевич,2403,0,Московское городское отделение политической партии Либерально-демократическая партия России
33,Гусева Людмила Ивановна,18979,1,Самовыдвижение
33,Макаров Вячеслав Геннадьевич,2199,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
33,Попов Александр Викторович,3143,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
33,Тарасов Антон Александрович,6155,1,Самовыдвижение
34,Животов Геннадий Васильевич,5424,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
34,Кочетков Владимир Валерьевич,7034,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
34,Огородников Георгий Борисович,3358,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
34,Семенников Александр Григорьевич,13913,1,Самовыдвижение
34,Юриков Антон Вадимович,2209,0,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
35,Анохина Ольга Ярославовна,6393,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
35,Борщев Валерий Васильевич,5420,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
35,Васильев Сергей Иванович,8579,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
35,Лайшев Ренат Алексеевич,13771,0,Самовыдвижение
35,Паращенко Сергей Николаевич,869,0,Московское городское отделение политической партии Либерально-демократическая партия России
35,Устинов Арсений Григорьевич,1126,0,Самовыдвижение
36,Волков Николай Юрьевич,4561,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
36,Гринченко Владимир Владимирович,1137,0,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
36,Росс Сергей Геннадьевич,4843,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
36,Семенов Григорий Викторович,3515,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
36,Шарапова Ольга Викторовна,15222,1,Самовыдвижение
37,Вышегородцев Михаил Михайлович,4454,0,Региональное отделение в городе Москве Политической партии Гражданская Платформа
37,Губенко Николай Николаевич,11145,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
37,Мишин Геннадий Александрович,1203,0,Московское городское отделение политической партии Либерально-демократическая партия России
37,Рамазанов Сираждин Омарович,434,0,Региональное отделение в городе Москве Всероссийской политической партии Социал-демократическая партия России
37,Рублева Юлия Владимировна,3091,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
37,Русакова Елена Леонидовна,9002,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
37,Сильнов Алексей Сергеевич,4421,0,Самовыдвижение
38,Балакин Михаил Дмитриевич,20450,0,Московское городское отделение политической партии Либерально-демократическая партия России
38,Сагенбаев Игорь Александрович,9399,0,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
38,Токаев Борис Владимирович,2197,0,Самовыдвижение
38,Хандриков Илья Николаевич,3079,0,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
38,Шелудько Александр Леонидович,2070,0,Самовыдвижение
38,Ширяев Денис Александрович,5262,0,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
