Station,FullName,Count
33,Федоров Павел Сергеевич,2731
34,Гладкова Юлия Генриховна,11314
34,Семенников Александр Григорьевич,11888
34,Филатов Александр Иванович,2071
34,Чирков Максим Андреевич,4157
34,Юриков Антон Вадимович,2106
35,Аграновский Дмитрий Владимирович,4485
35,Васильев Сергей Иванович,10754
35,Малахов Сергей Викторович,2866
35,Метлина Наталия Борисовна,13285
35,Монахов Михаил Игоревич,2204
35,Рязанов Владимир Викторович,3021
36,Курганский Сергей Борисович,10845
36,Папета Артём Владимирович,1084
36,Покатаев Алексей Николаевич,1308
36,Репников Дмитрий Александрович,3618
36,Рябцева Олеся Александровна,2141
36,Шарапова Ольга Викторовна,10871
37,Губенко Николай Николаевич,20621
37,Максимов Юрий Николаевич,6751
37,Романович Александр Леонидович,6076
38,Андрусенко Наталия Юрьевна,5179
38,Глек Игорь Владимирович,15437
38,Еремина Людмила Александровна,9175
38,Козлов Александр Михайлович,22021
38,Смирнов Станислав Александрович,6523
39,Безрядов Андрей Валерьевич,4483
39,Бестаев Николай Самсонович,4274
39,Видьманов Александр Олегович,11945
39,Головченко Валерий Владимирович,14992
39,Митяев Александр Константинович,4374
40,Батышева Татьяна Тимофеевна,13280
40,Гераськин Сергей Федорович,2601
40,Матвеев Сергей Иванович,1308
40,Михайловский Александр Всеволодович,3585
40,Мороз Сергей Борисович,1866
40,Суханов Игорь Владимирович,11718
41,Богатыренко Герман Юрьевич,2154
41,Герасимов Евгений Владимирович,12602
41,Павлова Екатерина Геннадьевна,2002
41,Соболев Алексей Анатольевич,2228
41,Фролова Ольга Викторовна,10546
42,Енгалычева Екатерина Александровна,14298
42,Кагарлицкий Борис Юльевич,2974
42,Коршунова Ольга Сергеевна,1203
42,Костычева Марина Александровна,916
42,Меньшиков Михаил Васильевич,2936
42,Никитин Кирилл Михайлович,6948
42,Раменский Павел Олегович,3179
43,Боровик Евгений Михайлович,4952
43,Климентьев Роман Валерьевич,6529
43,Кошлаков-Крестовский Дмитрий Владимирович,7231
43,Митрохин Сергей Сергеевич,16120
44,Нечаева Екатерина Сергеевна,1714
44,Свиридов Илья Тимурович,15738
44,Шалимова Надежда Валерьевна,1793
44,Шувалова Елена Анатольевна,16710
45,Касамара Валерия Александровна,11014
45,Конев Михаил Андреевич,3365
45,Турушев Евгений Иванович,4124
45,Яндиев Магомет Исаевич,12942
